"","x"
"529","KE"
"530","US"
"531","US"
"532","US"
"533","US"
"534","US"
"535","US"
"536","US"
"537","US"
"538","US"
"539","ZA"
"540","ZW"
"541",NA
"542",NA
"543",NA
"544","US"
"545","US"
"546","ZW"
"547","GB"
"548",NA
"549","BR"
"550",NA
"551","IT"
"552","IT"
"553","IT"
"554","IT"
"555","US"
"556","GB"
"557","CA"
"558","CA"
"559","EC"
"560","ES"
"561","ES"
"562","ES"
"563","BR"
"564","BR"
"565","US"
"566","BR"
"567","US"
"568","US"
"569","US"
"570","US"
"571","US"
"572",NA
"573",NA
"574",NA
"575","GB"
"576","GB"
"577","GB"
"578","GB"
"579","GB"
"580","CA"
"581",NA
"582","DE"
"583",NA
"584","CA"
"585","CA"
"586","CA"
"587","US"
"588","CH"
"589","US"
"590","CH"
"591","CA"
"592","US"
"593","JP"
"594","JP"
"595","JP"
"596","JP"
"597","CA"
"598","CA"
"599","US"
"600","US"
"601","CA"
"602","TZ"
"603",NA
"604",NA
"605","MZ"
"606","DE"
"607","DE"
"608","DE"
"609","DE"
"610","DE"
"611","MZ"
"612","MZ"
"613","BR"
"614","BR"
"615","PT"
"616","BR"
"617",NA
"618","PT"
"619","NZ"
"620",NA
"621","US"
"622","NP"
"623",NA
"624","BD"
"625","BD"
"626","MW"
"627","MW"
"628","MW"
"629","ZA"
"630","NO"
"631","HK"
"632","GB"
"633","CZ"
"634","CZ"
"635",NA
"636",NA
"637",NA
"638","CR"
"639","CR"
"640","CR"
"641","CR"
"642","CR"
"643","BR"
"644","CR"
"645","CR"
"646","CR"
"647",NA
"648",NA
"649",NA
"650","IT"
"651","UY"
"652","GB"
"653","UY"
"654",NA
"655","UY"
"656","JP"
"657","JP"
"658","MY"
"659",NA
"660",NA
"661",NA
"662","PE"
"663","PE"
"664","PE"
"665","RU"
"666","ES"
"667","MX"
"668","AR"
"669","HU"
"670","DK"
"671","SE"
"672","GB"
"673",NA
"674","SE"
"675","HU"
"676","FR"
"677","DE"
"678","JP"
"679","DE"
"680","SD"
"681","KR"
"682","SA"
"683","GH"
"684","US"
"685","GB"
"686",NA
"687",NA
"688",NA
"689",NA
"690",NA
"691",NA
"692",NA
"693",NA
"694",NA
"695",NA
"696",NA
"697",NA
"698","GH"
"699",NA
"700",NA
"701",NA
"702","JP"
"703",NA
"704",NA
"705",NA
"706",NA
"707",NA
"708",NA
"709",NA
"710",NA
"711",NA
"712",NA
"713",NA
"714","KE"
"715","GB"
"716","AU"
"717","AU"
"718","AU"
"719","ES"
"720","ES"
"721","CO"
"722","IT"
"723","IT"
"724","ES"
"725","ES"
"726","ES"
"727","NO"
"728","CN"
"729","HK"
"730","CN"
"731","CN"
"732","CN"
"733","CN"
"734","HK"
"735","ES"
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",NA
"742","BR"
"743","BR"
"744","BR"
"745",NA
"746",NA
"747",NA
"748",NA
"749",NA
"750",NA
"751",NA
"752","US"
"753","US"
"754","DE"
"755","DE"
"756","ID"
"757","ID"
"758","ID"
"759","ID"
"760","US"
"761","CA"
"762",NA
"763","CA"
"764","US"
"765","CA"
"766","TR"
"767","CA"
"768","CA"
"769",NA
"770","CA"
"771","GB"
"772","GB"
"773","CA"
"774","CA"
"775","TH"
"776","TH"
"777","TH"
"778","CN"
"779","TH"
"780",NA
"781","NL"
"782","NL"
"783","US"
"784","CA"
"785","CA"
"786","CA"
"787","CA"
"788","CA"
"789","CA"
"790","ZW"
"791","ZW"
"792","ZW"
"793","US"
"794","US"
"795","US"
"796","NO"
"797","GB"
"798","DK"
"799","RU"
"800","RU"
"801",NA
"802",NA
"803","NO"
"804","SE"
"805","FI"
"806","GB"
"807","US"
"808","NZ"
"809",NA
"810",NA
"811",NA
"812",NA
"813","US"
"814","NZ"
"815","UG"
"816","ID"
"817","US"
"818","NL"
"819",NA
"820","GB"
"821","FR"
"822","ID"
"823","US"
"824","IN"
"825","IN"
"826","IN"
"827",NA
"828",NA
"829",NA
"830","CN"
"831","CN"
"832","KR"
"833","KR"
"834","US"
"835","KR"
"836","NL"
"837","ES"
"838","ES"
"839","ES"
"840","ES"
"841","ES"
"842",NA
"843",NA
"844",NA
"845",NA
"846",NA
"847","GB"
"848","US"
"849","ES"
"850","ES"
"851","US"
"852","EG"
"853","EG"
"854","EG"
"855","EG"
"856","US"
"857",NA
"858","IN"
"859",NA
"860","NO"
"861",NA
"862","NZ"
"863","NZ"
"864","NZ"
"865","AU"
"866","AU"
"867","AU"
"868","AU"
"869","AU"
"870","BR"
"871","BR"
"872","CO"
"873",NA
"874",NA
"875",NA
"876","US"
"877","US"
"878","US"
"879","US"
"880","US"
"881","US"
"882","ZA"
"883","ZA"
"884","ZA"
"885","ZA"
"886","AU"
"887","AU"
"888","AU"
"889","AU"
"890","AU"
"891","AU"
"892","AU"
"893","AU"
"894","AU"
"895","US"
"896","US"
"897","US"
"898","ID"
"899","CO"
"900","CO"
"901","DE"
"902","CO"
"903",NA
"904","NZ"
"905","IT"
"906","US"
"907",NA
"908","CO"
"909","CO"
"910","CO"
"911",NA
"912","CO"
"913","CA"
"914","NL"
"915","AU"
"916","AU"
"917","AU"
"918","GB"
"919","AU"
"920","AU"
"921","AU"
"922","CA"
"923","US"
"924",NA
"925",NA
"926",NA
"927","ES"
"928","ES"
"929","BR"
"930","BR"
"931","FI"
"932","FI"
"933","FI"
"934","FI"
"935","ZA"
"936","ZA"
"937","ZA"
"938","ZA"
"939","ZA"
"940","ZA"
"941","AU"
"942","NZ"
"943","NZ"
"944",NA
"945","NZ"
"946","NZ"
"947","NZ"
"948","AU"
"949","AU"
"950","AU"
"951",NA
"952","US"
"953","SE"
"954","CA"
"955","AU"
"956",NA
"957",NA
"958",NA
"959","US"
"960","US"
"961","US"
"962",NA
"963",NA
"964","US"
"965","GB"
"966","US"
"967","US"
"968","US"
"969","GB"
"970",NA
"971","US"
"972","AU"
"973","AU"
"974","AU"
"975","AU"
"976","AU"
"977","AU"
"978",NA
"979",NA
"980",NA
"981",NA
"982",NA
"983","AU"
"984","AU"
"985","AU"
"986","AU"
"987","AU"
"988","ZA"
"989","ZA"
"990","ZA"
"991",NA
"992",NA
"993",NA
"994",NA
"995",NA
"996","AU"
"997","AU"
"998","DE"
"999","GB"
"1000",NA
"1001",NA
"1002","US"
"1003","KE"
"1004","KE"
"1005","US"
"1006","US"
"1007","US"
"1008","GB"
"1009","GB"
"1010","GB"
"1011","GB"
"1012","GB"
"1013","ES"
"1014","GB"
"1015","ES"
"1016","TG"
"1017","TG"
"1018","TG"
"1019","CA"
"1020","CA"
"1021","SE"
"1022","SE"
"1023","AU"
"1024","AU"
"1025",NA
"1026","AU"
"1027","AU"
"1028",NA
"1029",NA
"1030",NA
"1031","CA"
"1032","ES"
"1033","GB"
"1034","CA"
"1035","NO"
"1036","AU"
"1037","AU"
"1038",NA
"1039","NL"
"1040","NL"
"1041","NL"
"1042","BJ"
"1043",NA
"1044",NA
"1045","AU"
"1046",NA
"1047","AU"
"1048","AU"
"1049","AU"
"1050","AU"
"1051","AU"
"1052",NA
"1053",NA
"1054",NA
"1055",NA
"1056",NA
"1057",NA
"1058","NL"
"1059","NL"
"1060",NA
"1061",NA
"1062",NA
"1063","US"
"1064","BR"
"1065",NA
"1066",NA
"1067",NA
"1068","ES"
"1069","US"
"1070","EG"
"1071","MX"
"1072","MX"
"1073","FI"
"1074","FI"
"1075","FI"
"1076","IT"
"1077","IT"
"1078","IT"
"1079","IT"
"1080","FI"
"1081","FI"
"1082","FI"
"1083","FI"
"1084","DE"
"1085","DE"
"1086","CZ"
"1087",NA
"1088",NA
"1089",NA
"1090",NA
"1091",NA
"1092","ZW"
"1093","ZW"
"1094","ZW"
"1095","ID"
"1096",NA
"1097","GB"
"1098","CA"
"1099","US"
"1100",NA
"1101","ET"
"1102","US"
"1103","FR"
"1104","ET"
"1105","ET"
"1106","MX"
"1107","MX"
"1108","MX"
"1109","US"
"1110","GB"
"1111","GB"
"1112","KE"
"1113","MX"
"1114","MX"
"1115","MX"
"1116","MX"
"1117","MX"
"1118","MX"
"1119","MX"
"1120","MX"
"1121","MX"
"1122","MX"
"1123","MX"
"1124","MX"
"1125","ES"
"1126","ZA"
"1127","ES"
"1128","FI"
"1129","ES"
"1130","ES"
"1131","BO"
"1132",NA
"1133","US"
"1134","BO"
"1135","BO"
"1136","BO"
"1137","BO"
"1138","BO"
"1139",NA
"1140",NA
"1141",NA
"1142",NA
"1143",NA
"1144",NA
"1145","US"
"1146","US"
"1147",NA
"1148","GB"
"1149",NA
"1150","TZ"
"1151","CA"
"1152","CR"
"1153","CA"
"1154","BF"
"1155","BF"
"1156","BF"
"1157","BF"
"1158","BF"
"1159",NA
"1160",NA
"1161","ML"
"1162","NL"
"1163","BF"
"1164",NA
"1165",NA
"1166",NA
"1167",NA
"1168",NA
"1169",NA
"1170",NA
"1171",NA
"1172",NA
"1173","ZA"
"1174","ZA"
"1175","ZA"
"1176","ZW"
"1177","JP"
"1178","US"
"1179","US"
"1180","MX"
"1181","MX"
"1182","MX"
"1183","MX"
"1184","GB"
"1185","DK"
"1186",NA
"1187","IN"
"1188","IN"
"1189","IN"
"1190","IN"
"1191",NA
"1192",NA
"1193",NA
"1194",NA
"1195","IT"
"1196",NA
"1197",NA
"1198",NA
"1199","ES"
"1200","VE"
"1201","SA"
"1202",NA
"1203",NA
"1204",NA
"1205",NA
"1206","CA"
"1207","US"
"1208","US"
"1209","US"
"1210","GB"
"1211","GB"
"1212","GB"
"1213","GB"
"1214","GB"
"1215","US"
"1216","GB"
"1217","GB"
"1218","CA"
"1219","US"
"1220","US"
"1221","US"
"1222","US"
"1223","NL"
"1224","NL"
"1225","NL"
"1226","NL"
"1227","NL"
"1228","NL"
"1229","FR"
"1230","BR"
"1231","US"
"1232","MX"
"1233","NO"
"1234","GR"
"1235","GR"
"1236","GR"
"1237","GR"
"1238","IT"
"1239","GR"
"1240","US"
"1241","MX"
"1242","US"
"1243","US"
"1244",NA
"1245",NA
"1246","US"
"1247","US"
"1248","US"
"1249","US"
"1250","ZW"
"1251","GB"
"1252","GB"
"1253","ZW"
"1254",NA
"1255","BR"
"1256","BR"
"1257","BR"
"1258","BR"
"1259","BR"
"1260","BR"
"1261","BR"
"1262","BR"
"1263","BR"
"1264","BR"
"1265","BR"
"1266","BR"
"1267","US"
"1268","US"
"1269","US"
"1270","CL"
"1271","CL"
"1272","US"
"1273","US"
"1274",NA
"1275",NA
"1276","IT"
"1277",NA
"1278","GB"
"1279","GB"
"1280","PE"
"1281","EC"
"1282","EC"
"1283","BR"
"1284","PE"
"1285","PE"
"1286","BO"
"1287","BR"
"1288","PE"
"1289","EC"
"1290","BR"
"1291","BR"
"1292","BR"
"1293","BR"
"1294","US"
"1295","US"
"1296","US"
"1297","US"
"1298","GB"
"1299","GB"
"1300","BR"
"1301",NA
"1302",NA
"1303","BR"
"1304","ES"
"1305","ES"
"1306","CL"
"1307","CN"
"1308","CN"
"1309","CN"
"1310","CN"
"1311","GR"
"1312","GR"
"1313",NA
"1314",NA
"1315","DE"
"1316","DE"
"1317","BR"
"1318","BR"
"1319","BR"
"1320","BR"
"1321","BR"
"1322","CA"
"1323","BR"
"1324","BR"
"1325","BR"
"1326","BF"
"1327","BF"
"1328","DE"
"1329","BF"
"1330","DE"
"1331","ES"
"1332","SN"
"1333","FR"
"1334","DE"
"1335","US"
"1336","US"
"1337","US"
"1338","JP"
"1339","US"
"1340","BR"
"1341","US"
"1342","US"
"1343","US"
"1344","US"
"1345","SE"
"1346","CA"
"1347","ES"
"1348","ES"
"1349","GB"
"1350","GB"
"1351",NA
"1352","AR"
"1353","AR"
"1354","AR"
"1355","AR"
"1356",NA
"1357","AR"
"1358","AR"
"1359","AR"
"1360","AR"
"1361","AR"
"1362","US"
"1363","US"
"1364","US"
"1365","US"
"1366","US"
"1367",NA
"1368",NA
"1369","US"
"1370","IT"
"1371","IT"
"1372","IT"
"1373","GB"
"1374","GB"
"1375",NA
"1376",NA
"1377","GY"
"1378","GY"
"1379",NA
"1380",NA
"1381",NA
"1382",NA
"1383","GY"
"1384","GB"
"1385","US"
"1386","US"
"1387","US"
"1388","US"
"1389","US"
"1390","US"
"1391","CL"
"1392","GB"
"1393","US"
"1394","US"
"1395","US"
"1396",NA
"1397","CH"
"1398","CH"
"1399","CH"
"1400",NA
"1401",NA
"1402",NA
"1403",NA
"1404",NA
"1405",NA
"1406","US"
"1407","US"
"1408","US"
"1409","US"
"1410","US"
"1411","CH"
"1412","CH"
"1413","BR"
"1414","BR"
"1415","AU"
"1416","DE"
"1417","AR"
"1418","BR"
"1419","BR"
"1420","BR"
"1421","BR"
"1422","BR"
"1423","DE"
"1424","BR"
"1425","BR"
"1426","CA"
"1427","CA"
"1428","FR"
"1429","CA"
"1430","FR"
"1431","CA"
"1432","AU"
"1433","CL"
"1434","CA"
"1435","CA"
"1436","CL"
"1437","MX"
"1438","MX"
"1439","MX"
"1440","MX"
"1441","US"
"1442","US"
"1443","MX"
"1444","MX"
"1445","MX"
"1446","MX"
"1447","US"
"1448","CA"
"1449","CA"
"1450",NA
"1451",NA
"1452","US"
"1453","US"
"1454",NA
"1455","US"
"1456","BR"
"1457",NA
"1458","US"
"1459","BR"
"1460",NA
"1461",NA
"1462","US"
"1463","US"
"1464","US"
"1465","US"
"1466","US"
"1467","US"
"1468","US"
"1469","CA"
"1470","US"
"1471","CA"
"1472","CA"
"1473","BR"
"1474","BR"
"1475","BR"
"1476","US"
"1477","IT"
"1478","BR"
"1479","BR"
"1480","US"
"1481",NA
"1482","US"
"1483","US"
"1484","CO"
"1485","CO"
"1486","ES"
"1487","CA"
"1488","US"
"1489","US"
"1490",NA
"1491","US"
"1492","CA"
"1493","GB"
"1494","US"
"1495","US"
"1496","CA"
"1497","JP"
"1498","US"
"1499","US"
"1500","VE"
"1501","VE"
"1502","VE"
"1503","NL"
"1504","NL"
"1505","NL"
"1506",NA
"1507",NA
"1508",NA
"1509",NA
"1510",NA
"1511",NA
"1512",NA
"1513",NA
"1514",NA
"1515",NA
"1516","NP"
"1517","BR"
"1518","BR"
"1519","BR"
"1520",NA
"1521","US"
"1522","BR"
"1523","US"
"1524","BR"
"1525","BR"
"1526","CA"
"1527","CA"
"1528","BR"
"1529","BY"
"1530",NA
"1531",NA
"1532","GB"
"1533","GB"
"1534","GB"
"1535","BR"
"1536","BR"
"1537","AR"
"1538","BR"
"1539",NA
"1540",NA
"1541",NA
"1542",NA
"1543",NA
"1544",NA
"1545",NA
"1546",NA
"1547",NA
"1548",NA
"1549",NA
"1550",NA
"1551",NA
"1552",NA
"1553",NA
"1554",NA
"1555",NA
"1556",NA
"1557",NA
"1558",NA
"1559",NA
"1560",NA
"1561",NA
"1562",NA
"1563","PT"
"1564",NA
"1565","CL"
"1566","CL"
"1567","CL"
"1568","AR"
"1569","BR"
"1570","EC"
"1571",NA
"1572",NA
"1573","NZ"
"1574","NZ"
"1575","NZ"
"1576","PL"
"1577","AR"
"1578","AR"
"1579","AR"
"1580","BR"
"1581","BR"
"1582","BR"
"1583","BR"
"1584","AU"
"1585",NA
"1586","ES"
"1587","ES"
"1588","ES"
"1589","ES"
"1590","ES"
"1591","ES"
"1592","ES"
"1593","ES"
"1594","ES"
"1595","BR"
"1596","GB"
"1597","BR"
"1598","BR"
"1599","CL"
"1600","CL"
"1601","CL"
"1602","CL"
"1603","BR"
"1604","BR"
"1605",NA
"1606",NA
"1607",NA
"1608",NA
"1609",NA
"1610",NA
"1611",NA
"1612",NA
"1613",NA
"1614",NA
"1615",NA
"1616",NA
"1617",NA
"1618",NA
"1619","PA"
"1620","PA"
"1621",NA
"1622","MX"
"1623","US"
"1624","MX"
"1625","US"
"1626","BR"
"1627","BR"
"1628","BR"
"1629","BR"
"1630","BR"
"1631","NZ"
"1632","NZ"
"1633","BR"
"1634","BR"
"1635","BR"
"1636","BR"
"1637","US"
"1638","MX"
"1639",NA
"1640","CA"
"1641","US"
"1642","BR"
"1643",NA
"1644","BR"
"1645","BR"
"1646","BR"
"1647","BR"
"1648","AU"
"1649","AU"
"1650","AU"
"1651","AU"
"1652","AU"
"1653","AU"
"1654","CH"
"1655","GB"
"1656","IT"
"1657","US"
"1658","AU"
"1659","AU"
"1660","AU"
"1661","IT"
"1662","GB"
"1663","AU"
"1664","US"
"1665","GB"
"1666","US"
"1667","US"
"1668","US"
"1669","US"
"1670","US"
"1671","US"
"1672","US"
"1673","US"
"1674","US"
"1675","US"
"1676","US"
"1677",NA
"1678",NA
"1679","SK"
"1680",NA
"1681",NA
"1682",NA
"1683",NA
"1684",NA
"1685",NA
"1686",NA
"1687",NA
"1688",NA
"1689",NA
"1690",NA
"1691",NA
"1692",NA
"1693",NA
"1694",NA
"1695",NA
"1696",NA
"1697","BR"
"1698","BR"
"1699","BR"
"1700","BR"
"1701","BO"
"1702","BO"
"1703","US"
"1704","SE"
"1705","US"
"1706","US"
"1707","US"
"1708",NA
"1709",NA
"1710",NA
"1711",NA
"1712","NL"
"1713",NA
"1714","FI"
"1715","FI"
"1716","US"
"1717","NL"
"1718","US"
"1719","US"
"1720","NL"
"1721","US"
"1722","NL"
"1723","GB"
"1724","NL"
"1725","FR"
"1726",NA
"1727","ES"
"1728",NA
"1729","ES"
"1730","ES"
"1731","ES"
"1732",NA
"1733",NA
"1734","US"
"1735","NL"
"1736","PH"
"1737","NL"
"1738","NL"
"1739","US"
"1740","ES"
"1741","BR"
"1742","US"
"1743","IT"
"1744","US"
"1745","FR"
"1746","NZ"
"1747","NL"
"1748","NL"
"1749","NL"
"1750",NA
"1751","SR"
"1752","AU"
"1753","NL"
"1754","NL"
"1755",NA
"1756",NA
"1757",NA
"1758","US"
"1759","US"
"1760","US"
"1761","BO"
"1762","US"
"1763",NA
"1764","US"
"1765","BO"
"1766","US"
"1767","AU"
"1768","AU"
"1769","AU"
"1770","AU"
"1771","CA"
"1772","CA"
"1773","CA"
"1774","CA"
"1775","CA"
"1776","CA"
"1777","CA"
"1778","CA"
"1779","US"
"1780","US"
"1781","CA"
"1782","CA"
"1783","CA"
"1784","CA"
"1785","CA"
"1786","GB"
"1787","KE"
"1788","GB"
"1789","KE"
"1790","CA"
"1791","CA"
"1792","CA"
"1793","CA"
"1794","FR"
"1795","FR"
"1796","FR"
"1797","MG"
"1798","FR"
"1799","FR"
"1800","GB"
"1801","GB"
"1802","US"
"1803","GB"
"1804","US"
"1805","CA"
"1806","US"
"1807",NA
"1808",NA
"1809",NA
"1810","US"
"1811","FJ"
"1812","FJ"
"1813","US"
"1814","ET"
"1815","NL"
"1816","NL"
"1817","BR"
"1818","BR"
"1819","BR"
"1820","CA"
"1821","CA"
"1822","CA"
"1823","GB"
"1824","GB"
"1825","GB"
"1826","CA"
"1827","CA"
"1828","CA"
"1829","CA"
"1830","CA"
"1831",NA
"1832","MY"
"1833","MY"
"1834","US"
"1835","US"
"1836","AU"
"1837","AU"
"1838","AU"
"1839","AU"
"1840","AU"
"1841","AU"
"1842","US"
"1843","US"
"1844","FR"
"1845",NA
"1846",NA
"1847",NA
"1848","FR"
"1849","AU"
"1850","AU"
"1851","AU"
"1852","AU"
"1853",NA
"1854",NA
"1855",NA
"1856","AU"
"1857",NA
"1858","AU"
"1859","US"
"1860","BR"
"1861","ZA"
"1862","US"
"1863","US"
"1864","US"
"1865","AU"
"1866","US"
"1867","US"
"1868","AU"
"1869","US"
"1870","US"
"1871","US"
"1872","US"
"1873","GB"
"1874","SG"
"1875","US"
"1876","CA"
"1877",NA
"1878","SE"
"1879","SE"
"1880","SE"
"1881","SE"
"1882","SE"
"1883","SE"
"1884","SE"
"1885",NA
"1886",NA
"1887","BR"
"1888","US"
"1889","GB"
"1890","US"
"1891","ID"
"1892","PE"
"1893",NA
"1894","ID"
"1895","AU"
"1896",NA
"1897","NO"
"1898","DK"
"1899","DK"
"1900","DK"
"1901","DK"
"1902","CA"
"1903","CL"
"1904","CL"
"1905","CL"
"1906","CL"
"1907","CL"
"1908","CL"
"1909","CL"
"1910","CL"
"1911","CL"
"1912","CH"
"1913","CH"
"1914","US"
"1915","SE"
"1916","SE"
"1917","SE"
"1918","BR"
"1919","NZ"
"1920","BR"
"1921","GB"
"1922","US"
"1923","BR"
"1924","BR"
"1925","CA"
"1926","CA"
"1927","CA"
"1928","CA"
"1929","CA"
"1930",NA
"1931","US"
"1932","US"
"1933","GB"
"1934","GB"
"1935","US"
"1936","US"
"1937","GB"
"1938","US"
"1939","GB"
"1940","US"
"1941","GB"
"1942","US"
"1943","BE"
"1944","BE"
"1945","ET"
"1946","NL"
"1947","AT"
